Region,Year,Category,Value,Criteria
Land Locked Developing Countries (LLDCs),2010,Total,7.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2010,Total,22.1,Population covered by at least an LTE/WiMAX mobile network
World,2011,Total,30.9,Population covered by at least an LTE/WiMAX mobile network
Low-income,2011,Total,4.2,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2011,Total,12.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2011,Total,34.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2011,Total,70.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2011,Total,4.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2011,Total,9.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2011,Total,24.7,Population covered by at least an LTE/WiMAX mobile network
World,2012,Total,33.3,Population covered by at least an LTE/WiMAX mobile network
Low-income,2012,Total,5.0,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2012,Total,14.0,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2012,Total,38.3,Population covered by at least an LTE/WiMAX mobile network
High-income,2012,Total,73.8,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2012,Total,4.8,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2012,Total,11.5,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2012,Total,27.0,Population covered by at least an LTE/WiMAX mobile network
World,2013,Total,35.3,Population covered by at least an LTE/WiMAX mobile network
Low-income,2013,Total,5.8,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2013,Total,15.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2013,Total,41.4,Population covered by at least an LTE/WiMAX mobile network
High-income,2013,Total,75.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2013,Total,6.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2013,Total,13.4,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2013,Total,30.6,Population covered by at least an LTE/WiMAX mobile network
World,2014,Total,37.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2014,Total,7.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2014,Total,17.6,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2014,Total,44.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2014,Total,77.0,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2014,Total,8.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2014,Total,15.5,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2014,Total,32.5,Population covered by at least an LTE/WiMAX mobile network
World,2015,Total,43.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2015,Total,4.3,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2015,Total,12.4,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2015,Total,60.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2015,Total,89.4,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2015,Total,15.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2015,Total,12.1,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2015,Total,35.1,Population covered by at least an LTE/WiMAX mobile network
World,2015,Total,52.4,Population covered by at least an LTE/WiMAX mobile network
Low-income,2015,Total,5.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2015,Total,14.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2015,Total,20.7,Population covered by at least an LTE/WiMAX mobile network
High-income,2015,Total,112.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2015,Total,6.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2015,Total,23.9,Population covered by at least an LTE/WiMAX mobile network
World,2015,Total,39.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2015,Total,8.9,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2015,Total,19.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2015,Total,47.9,Population covered by at least an LTE/WiMAX mobile network
High-income,2015,Total,78.3,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2015,Total,10.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2015,Total,18.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2015,Total,36.1,Population covered by at least an LTE/WiMAX mobile network
World,2016,Total,63.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2016,Total,8.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2016,Total,50.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2016,Total,75.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2016,Total,92.1,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2016,Total,19.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2016,Total,18.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2016,Total,40.3,Population covered by at least an LTE/WiMAX mobile network
World,2016,Total,67.0,Population covered by at least an LTE/WiMAX mobile network
Low-income,2016,Total,6.0,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2016,Total,25.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2016,Total,29.1,Population covered by at least an LTE/WiMAX mobile network
High-income,2016,Total,140.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2016,Total,7.8,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2016,Total,27.1,Population covered by at least an LTE/WiMAX mobile network
World,2016,Total,42.8,Population covered by at least an LTE/WiMAX mobile network
Low-income,2016,Total,10.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2016,Total,22.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2016,Total,51.4,Population covered by at least an LTE/WiMAX mobile network
High-income,2016,Total,82.5,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2016,Total,13.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2016,Total,20.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2016,Total,41.3,Population covered by at least an LTE/WiMAX mobile network
World,2017,Total,74.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2017,Total,10.6,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2017,Total,68.0,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2017,Total,85.7,Population covered by at least an LTE/WiMAX mobile network
High-income,2017,Total,94.0,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2017,Total,23.4,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2017,Total,24.6,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2017,Total,51.4,Population covered by at least an LTE/WiMAX mobile network
World,2017,Total,84.7,Population covered by at least an LTE/WiMAX mobile network
Low-income,2017,Total,7.2,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2017,Total,34.1,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2017,Total,39.8,Population covered by at least an LTE/WiMAX mobile network
High-income,2017,Total,178.7,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2017,Total,10.0,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2017,Total,25.0,Population covered by at least an LTE/WiMAX mobile network
World,2017,Total,45.2,Population covered by at least an LTE/WiMAX mobile network
Low-income,2017,Total,12.1,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2017,Total,24.7,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2017,Total,54.7,Population covered by at least an LTE/WiMAX mobile network
High-income,2017,Total,84.2,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2017,Total,16.2,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2017,Total,22.7,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2017,Total,46.4,Population covered by at least an LTE/WiMAX mobile network
World,2018,Total,79.3,Population covered by at least an LTE/WiMAX mobile network
Low-income,2018,Total,14.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2018,Total,75.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2018,Total,90.2,Population covered by at least an LTE/WiMAX mobile network
High-income,2018,Total,95.4,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2018,Total,30.7,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2018,Total,27.8,Population covered by at least an LTE/WiMAX mobile network
Small Island Developing States (SIDS),2018,Total,54.8,Population covered by at least an LTE/WiMAX mobile network
World,2018,Total,108.1,Population covered by at least an LTE/WiMAX mobile network
Low-income,2018,Total,8.4,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2018,Total,55.2,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2018,Total,44.6,Population covered by at least an LTE/WiMAX mobile network
High-income,2018,Total,238.8,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2018,Total,15.9,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2018,Total,32.5,Population covered by at least an LTE/WiMAX mobile network
World,2018,Total,48.5,Population covered by at least an LTE/WiMAX mobile network
Low-income,2018,Total,14.2,Population covered by at least an LTE/WiMAX mobile network
Lower-middle-income,2018,Total,27.5,Population covered by at least an LTE/WiMAX mobile network
Upper-middle-income,2018,Total,59.5,Population covered by at least an LTE/WiMAX mobile network
High-income,2018,Total,86.4,Population covered by at least an LTE/WiMAX mobile network
Least Developed Countries (LDCs),2018,Total,19.5,Population covered by at least an LTE/WiMAX mobile network
Land Locked Developing Countries (LLDCs),2018,Total,25.0,Population covered by at least an LTE/WiMAX mobile network
